# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.9323
# k_min, k_max      =     0.0000    3.6470
# E_min, E_max      =   -63.0029   94.8857
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.494188    -39.581200
      0.498448    -39.580800
      0.502708    -39.580400
      0.506968    -39.580000
      0.511229    -39.579500
      0.515489    -39.579000
      0.519749    -39.578500
      0.524009    -39.578000
      0.528269    -39.577500
      0.532530    -39.576900
      0.536790    -39.576300
      0.541050    -39.575700
      0.545310    -39.575100
      0.549571    -39.574500
      0.553831    -39.573800
      0.558091    -39.573200
      0.562351    -39.572500
      0.566612    -39.571800
      0.570872    -39.571100
      0.575132    -39.570300
      0.579392    -39.569600
      0.583653    -39.568800
      0.587913    -39.568100
      0.592173    -39.567300
      0.596433    -39.566500
      0.600694    -39.565700
      0.604954    -39.564900
      0.609214    -39.564100
      0.613474    -39.563200
      0.617734    -39.562400
      0.621995    -39.561500
      0.626255    -39.560700
      0.630515    -39.559800
      0.634775    -39.559000
      0.639036    -39.558100
      0.643296    -39.557200
      0.647556    -39.556300
      0.651816    -39.555500
      0.656077    -39.554600
      0.660337    -39.553700
      0.664597    -39.552800
      0.668857    -39.551900
      0.673118    -39.551100
      0.677378    -39.550200
      0.681638    -39.549300
      0.685898    -39.548500
      0.690159    -39.547600
      0.694419    -39.546700
      0.698679    -39.545900
      0.702939    -39.545100
      0.707199    -39.544200
      0.711460    -39.543400
      0.715720    -39.542600
      0.719980    -39.541800
      0.724240    -39.541100
      0.728501    -39.540300
      0.732761    -39.539600
      0.737021    -39.538800
      0.741281    -39.538100
      0.745542    -39.537400
      0.749802    -39.536700
      0.754062    -39.536100
      0.758322    -39.535400
      0.762583    -39.534800
      0.766843    -39.534200
      0.771103    -39.533700
      0.775363    -39.533100
      0.779624    -39.532600
      0.783884    -39.532100
      0.788144    -39.531600
      0.792404    -39.531200
      0.796664    -39.530800
      0.800925    -39.530400
      0.805185    -39.530000
      0.809445    -39.529700
      0.813705    -39.529400
      0.817966    -39.529100
      0.822226    -39.528900
      0.826486    -39.528600
      0.830746    -39.528500
      0.835007    -39.528300
      0.839267    -39.528200
      0.843527    -39.528100
      0.847787    -39.528100
      0.852048    -39.528000
      0.856308    -39.528000
      0.860568    -39.528000
      0.864828    -39.528000
      0.869089    -39.528000
      0.873349    -39.528000
      0.877609    -39.528000
      0.881869    -39.528000
      0.886129    -39.528000
      0.890390    -39.528000
      0.894650    -39.528000
      0.898910    -39.527900
      0.903170    -39.527900
      0.907431    -39.527900
      0.911691    -39.527900
      0.915951    -39.527800
      0.920211    -39.527800
      0.924472    -39.527800
      0.928732    -39.527800
      0.932992    -39.527700
      0.937252    -39.527700
      0.941513    -39.527700
      0.945773    -39.527600
      0.950033    -39.527600
      0.954293    -39.527500
      0.958554    -39.527500
      0.962814    -39.527500
      0.967074    -39.527400
      0.971334    -39.527400
      0.975594    -39.527300
      0.979855    -39.527300
      0.984115    -39.527200
      0.988375    -39.527200
      0.992635    -39.527100
      0.996896    -39.527100
      1.001156    -39.527000
      1.005416    -39.527000
      1.009676    -39.526900
